day,x,y,z
281,-1.1205876467044178E24,6.051908856609505E24,-1.3576599529467878E20
282,-1.1245755030983832E24,6.073445898803845E24,-1.3624914830284492E20
283,-1.1285633594923485E24,6.094982940998185E24,-1.3673230131101106E20
284,-1.1325512158863139E24,6.116519983192525E24,-1.372154543191772E20
285,-1.1365390722802793E24,6.138057025386865E24,-1.3769860732734335E20
286,-1.1405269286742446E24,6.159594067581205E24,-1.3818176033550949E20
287,-1.14451478506821E24,6.181131109775546E24,-1.3866491334367563E20
288,-1.1485026414621754E24,6.202668151969886E24,-1.3914806635184177E20
289,-1.1524904978561407E24,6.224205194164226E24,-1.3963121936000791E20
290,-1.1564783542501061E24,6.245742236358566E24,-1.4011437236817406E20
291,-1.1604662106440715E24,6.267279278552906E24,-1.405975253763402E20
292,-1.1644540670380369E24,6.288816320747246E24,-1.4108067838450634E20
293,-1.1684419234320022E24,6.310353362941586E24,-1.4156383139267248E20
294,-1.1724297798259676E24,6.331890405135926E24,-1.4204698440083862E20
295,-1.176417636219933E24,6.353427447330266E24,-1.4253013740900477E20
296,-1.1804054926138983E24,6.374964489524606E24,-1.430132904171709E20
297,-1.1843933490078637E24,6.396501531718946E24,-1.4349644342533705E20
298,-1.188381205401829E24,6.418038573913286E24,-1.4397959643350319E20
299,-1.1923690617957944E24,6.439575616107626E24,-1.4446274944166933E20
300,-1.1963569181897598E24,6.461112658301967E24,-1.4494590244983547E20
301,-1.2003447745837252E24,6.482649700496307E24,-1.4542905545800162E20
302,-1.2043326309776905E24,6.504186742690647E24,-1.4591220846616776E20
303,-1.2083204873716559E24,6.525723784884987E24,-1.463953614743339E20
304,-1.2123083437656213E24,6.547260827079327E24,-1.4687851448250004E20
305,-1.2162962001595868E24,6.568797869273667E24,-1.4736166749066618E20
306,-1.2202840565535523E24,6.590334911468007E24,-1.4784482049883233E20
307,-1.2242719129475178E24,6.611871953662347E24,-1.4832797350699847E20
308,-1.2282597693414833E24,6.633408995856687E24,-1.488111265151646E20
309,-1.2322476257354488E24,6.654946038051027E24,-1.4929427952333075E20
310,-1.2362354821294143E24,6.676483080245367E24,-1.497774325314969E20
311,-1.2402233385233798E24,6.698020122439707E24,-1.5026058553966304E20
312,-1.2442111949173453E24,6.719557164634048E24,-1.5074373854782918E20
313,-1.2481990513113108E24,6.741094206828388E24,-1.5122689155599532E20
